SO_Number,SO_Date,Customer_Code,Customer_Name,City,State,Material_Code,Material_Description,HSN_Code,Quantity,Unit_Price_INR,Discount_Pct,Net_Taxable_Value,GST_Type,GST_Rate_Pct,GST_Amount,Total_Invoice_Value,Payment_Terms,Sales_Rep,Order_Status,Delivery_Date,Payment_Due_Date,Payment_Received,Outstanding_INR
SO-10094,02-01-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,25,18500,10,416250.0,IGST,18,74925.0,491175.0,Z030,Rohit Sharma,In Transit,14-01-2025,03-03-2025,425979.85,65195.15
SO-10095,14-04-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-RF-3001,Double Door Refrigerator 300L,84181000,177,32000,10,5097600.0,IGST,18,917568.0,6015168.0,Z030,Priya Nair,Delivered,29-04-2024,13-06-2024,4740695.21,1274472.79
SO-10096,27-11-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,76,18500,3,1363820.0,IGST,18,245487.6,1609307.6,Z015,Sneha Patel,Processing,01-12-2024,11-01-2025,0,1609307.6
SO-10097,26-09-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-MO-6401,Smartphone 64MP 128GB,85171200,87,22000,0,1914000.0,IGST,18,344520.0,2258520.0,Z045,Rohit Sharma,Billed,06-10-2024,10-12-2024,1594114.33,664405.67
SO-10098,06-03-2025,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,14,4500,7,58590.0,IGST,18,10546.2,69136.2,Z030,Sneha Patel,Billed,10-03-2025,05-05-2025,43293.05,25843.15
SO-10099,20-12-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-HP-2001,Wireless Headphones Noise Cancel,85183000,123,4500,7,514755.0,CGST+SGST,18,92655.9,607410.9,Z030,Sneha Patel,Delivered,01-01-2025,18-02-2025,461158.32,146252.58
SO-10100,15-02-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,57,45000,5,2436750.0,IGST,18,438615.0,2875365.0,Z045,Sneha Patel,Delivered,01-03-2025,01-05-2025,2067554.34,807810.66
SO-10101,02-06-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,66,52000,3,3329040.0,CGST+SGST,18,599227.2,3928267.2,Z060,Vikram Das,Cancelled,05-06-2024,31-08-2024,0,3928267.2
SO-10102,26-10-2024,CUST-1002,Mehta Traders,Ahmedabad,Gujarat,MAT-RF-3001,Double Door Refrigerator 300L,84181000,34,32000,7,1011840.0,IGST,18,182131.2,1193971.2,Z030,Rohit Sharma,Completed,05-11-2024,25-12-2024,1193971.2,0.0
SO-10103,17-12-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,128,58000,7,6904320.0,IGST,18,1242777.6,8147097.6,Z045,Priya Nair,Processing,28-12-2024,02-03-2025,0,8147097.6
SO-10104,14-10-2024,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,135,52000,3,6809400.0,IGST,18,1225692.0,8035092.0,Z030,Rohit Sharma,Delivered,23-10-2024,13-12-2024,7121803.89,913288.11
SO-10105,16-12-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,77,45000,5,3291750.0,IGST,18,592515.0,3884265.0,Z015,Vikram Das,Completed,26-12-2024,30-01-2025,3884265.0,0.0
SO-10106,04-12-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-MO-6401,Smartphone 64MP 128GB,85171200,146,22000,10,2890800.0,IGST,18,520344.0,3411144.0,Z015,Priya Nair,Processing,12-12-2024,18-01-2025,0,3411144.0
SO-10107,24-03-2025,CUST-1004,Kapoor Distributors,Delhi,Delhi,MAT-CC-0501,DSLR Camera Kit 24MP,90065910,103,52000,3,5195320.0,IGST,18,935157.6,6130477.6,Z015,Sneha Patel,Completed,01-04-2025,08-05-2025,6130477.6,0.0
SO-10108,28-03-2025,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-LT-1501,Laptop 15.6 Inch Core i5 16GB,84713010,174,58000,3,9789240.0,IGST,18,1762063.2,11551303.2,Z015,Vikram Das,Completed,02-04-2025,12-05-2025,11551303.2,0.0
SO-10109,28-01-2025,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,117,28000,0,3276000.0,IGST,18,589680.0,3865680.0,Z015,Priya Nair,Completed,11-02-2025,14-03-2025,3865680.0,0.0
SO-10110,27-10-2024,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,125,28000,5,3325000.0,IGST,18,598500.0,3923500.0,Z060,Vikram Das,In Transit,04-11-2024,25-01-2025,3236567.05,686932.95
SO-10111,12-10-2024,CUST-1006,Bansal Retail Hub,Jaipur,Rajasthan,MAT-TB-1001,Tablet 10 Inch 256GB WiFi,84713020,143,18500,0,2645500.0,IGST,18,476190.0,3121690.0,Z030,Priya Nair,Delivered,19-10-2024,11-12-2024,2545989.52,575700.48
SO-10112,17-05-2024,CUST-1007,Nair Consumer Goods,Kochi,Kerala,MAT-TV-4301,Smart LED TV 43 Inch FHD,85287300,199,28000,0,5572000.0,IGST,18,1002960.0,6574960.0,Z015,Rohit Sharma,Completed,31-05-2024,01-07-2024,6574960.0,0.0
SO-10113,15-04-2024,CUST-1001,Sharma Electronics Pvt. Ltd.,Pune,Maharashtra,MAT-MO-6401,Smartphone 64MP 128GB,85171200,19,22000,5,397100.0,CGST+SGST,18,71478.0,468578.0,Z060,Vikram Das,Billed,21-04-2024,14-07-2024,335194.18,133383.82
SO-10114,28-10-2024,CUST-1010,Iyer Superstore,Bengaluru,Karnataka,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,48,38000,3,1769280.0,IGST,18,318470.4,2087750.4,Z030,Sneha Patel,In Transit,03-11-2024,27-12-2024,1690775.48,396974.92
SO-10115,24-01-2025,CUST-1003,Sundar Tech Solutions,Chennai,Tamil Nadu,MAT-RF-3001,Double Door Refrigerator 300L,84181000,123,32000,5,3739200.0,IGST,18,673056.0,4412256.0,Z015,Sneha Patel,Delivered,08-02-2025,10-03-2025,3677263.98,734992.02
SO-10116,26-08-2024,CUST-1009,Das Brothers Trading Co.,Kolkata,West Bengal,MAT-AC-1501,Split AC 1.5 Ton 5-Star Inverter,84151010,23,38000,7,812820.0,IGST,18,146307.6,959127.6,Z060,Rohit Sharma,Delivered,04-09-2024,24-11-2024,785975.67,173151.93
SO-10117,20-11-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-RF-3001,Double Door Refrigerator 300L,84181000,103,32000,7,3065280.0,IGST,18,551750.4,3617030.4,Z030,Vikram Das,Delivered,28-11-2024,19-01-2025,2498218.33,1118812.07
SO-10118,30-08-2024,CUST-1005,Reddy Electronics,Hyderabad,Telangana,MAT-TV-5501,Smart LED TV 55 Inch 4K UHD,85287300,173,45000,7,7240050.0,IGST,18,1303209.0,8543259.0,Z060,Arjun Verma,Completed,11-09-2024,28-11-2024,8543259.0,0.0
SO-10119,05-02-2025,CUST-1008,Singh Wholesale Mart,Chandigarh,Punjab,MAT-WM-0801,Front Load Washing Machine 8KG,84501100,63,29500,10,1672650.0,IGST,18,301077.0,1973727.0,Z060,Rohit Sharma,Delivered,17-02-2025,06-05-2025,1615118.45,358608.55
